quality	fixed_acidity	volatile_acidity	citric_acid	residual_sugar	chlorides	free_sulfur_dioxide	total_sulfur_dioxide	density	pH	sulphates	alcohol
5	7.8	0.88	0	2.6	0.098	25	67	0.9968	3.2	0.68	9.8
5	7.4	0.7	0	1.9	0.076	11	34	0.9978	3.51	0.56	9.4
7	7.3	0.65	0	1.2	0.065	15	21	0.9946	3.39	0.47	10
5	6.7	0.58	0.08	1.8	0.097	15	65	0.9959	3.28	0.54	9.2
5	7.8	0.61	0.29	1.6	0.114	9	29	0.9974	3.26	1.56	9.1
7	8.5	0.28	0.56	1.8	0.092	35	103	0.9969	3.3	0.75	10.5
6	7.9	0.32	0.51	1.8	0.341	17	56	0.9969	3.04	1.08	9.2
5	7.9	0.43	0.21	1.6	0.106	10	37	0.9966	3.17	0.91	9.5
5	6.3	0.39	0.16	1.4	0.08	11	23	0.9955	3.34	0.56	9.3
5	7.1	0.71	0	1.9	0.08	14	35	0.9972	3.47	0.55	9.4
6	6.9	0.685	0	2.5	0.105	22	37	0.9966	3.46	0.57	10.6
5	5.2	0.32	0.25	1.8	0.103	13	50	0.9957	3.38	0.55	9.2
7	8.1	0.38	0.28	2.1	0.066	13	30	0.9968	3.23	0.73	9.7
5	7.3	0.45	0.36	5.9	0.074	12	87	0.9978	3.33	0.83	10.5
5	8.1	0.66	0.22	2.2	0.069	9	23	0.9968	3.3	1.2	10.3
5	7.7	0.935	0.43	2.2	0.114	22	114	0.997	3.25	0.73	9.2
5	5.6	0.31	0.37	1.4	0.074	12	96	0.9954	3.32	0.58	9.2
6	6.6	0.5	0.04	2.1	0.068	6	14	0.9955	3.39	0.64	9.4
5	7.7	0.62	0.04	3.8	0.084	25	45	0.9978	3.34	0.53	9.5
5	7.8	0.59	0.18	2.3	0.076	17	54	0.9975	3.43	0.59	10
5	7.7	0.69	0.49	1.8	0.115	20	112	0.9968	3.21	0.71	9.3
5	7.2	0.725	0.05	4.65	0.086	4	11	0.9962	3.41	0.39	10.9
5	6.6	0.705	0.07	1.6	0.076	6	15	0.9962	3.44	0.58	10.7
6	7.7	0.63	0.08	1.9	0.076	15	27	0.9967	3.32	0.54	9.5
4	8.3	0.675	0.26	2.1	0.084	11	43	0.9976	3.31	0.53	9.2
5	8.8	0.41	0.64	2.2	0.093	9	42	0.9986	3.54	0.66	10.5
4	8.3	0.625	0.2	1.5	0.08	27	119	0.9972	3.16	1.12	9.1
5	7.4	0.5	0.47	2	0.086	21	73	0.997	3.36	0.57	9.1
5	6.9	0.55	0.15	2.2	0.076	19	40	0.9961	3.41	0.59	10.1
5	9.3	0.39	0.44	2.1	0.107	34	125	0.9978	3.14	1.22	9.5
6	8.6	0.49	0.28	1.9	0.11	20	136	0.9972	2.93	1.95	9.9
4	5	1.02	0.04	1.4	0.045	41	85	0.9938	3.75	0.48	10.5
5	7	0.5	0.25	2	0.07	3	22	0.9963	3.25	0.63	9.2
6	8.3	0.61	0.3	2.1	0.084	11	50	0.9972	3.4	0.61	10.2
5	8.1	0.575	0.22	2.1	0.077	12	65	0.9967	3.29	0.51	9.2
5	7.8	0.41	0.68	1.7	0.467	18	69	0.9973	3.08	1.31	9.3
5	8.1	0.785	0.52	2	0.122	37	153	0.9969	3.21	0.69	9.3
5	8.4	0.6	0.1	2.2	0.085	14	111	0.9964	3.15	0.66	9.8
6	9.4	0.4	0.31	2.2	0.09	13	62	0.9966	3.07	0.63	10.5
6	8.8	0.55	0.04	2.2	0.119	14	56	0.9962	3.21	0.6	10.9
6	8.8	0.55	0.04	2.2	0.119	14	56	0.9962	3.21	0.6	10.9
5	7.8	0.5	0.17	1.6	0.082	21	102	0.996	3.39	0.48	9.5
5	8.1	1.33	0	1.8	0.082	3	12	0.9964	3.54	0.48	10.9
5	8	0.745	0.56	2	0.118	30	134	0.9968	3.24	0.66	9.4
6	6.6	0.5	0.01	1.5	0.06	17	26	0.9952	3.4	0.58	9.8
5	8.3	0.715	0.15	1.8	0.089	10	52	0.9968	3.23	0.77	9.5
5	7.8	0.56	0.19	2	0.081	17	108	0.9962	3.32	0.54	9.5
6	5.2	0.34	0	1.8	0.05	27	63	0.9916	3.68	0.79	14
5	8.1	0.67	0.55	1.8	0.117	32	141	0.9968	3.17	0.62	9.4
6	6.9	0.49	0.1	2.3	0.074	12	30	0.9959	3.42	0.58	10.2
4	9.2	0.52	1	3.4	0.61	32	69	0.9996	2.74	2.0	9.4
5	7.1	0.43	0.42	5.5	0.07	29	129	0.9973	3.42	0.72	10.5
5	7.1	0.43	0.42	5.5	0.071	28	128	0.9973	3.42	0.71	10.5
5	7.6	0.95	0.03	2	0.09	7	20	0.9959	3.2	0.56	9.6
